Player_name,Img,Back_no,Position,Height/Weight,Record
김도영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52605.jpg,5,내야수(우투우타),183cm/85kg,"[{'Year': '2022', 'Team': 'KIA', 'Avg': '0.237', 'Hit': '53', 'HomeRun': '3'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.303', 'Hit': '103', 'HomeRun': '7'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.347', 'Hit': '189', 'HomeRun': '38'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.330', 'Hit': '33', 'HomeRun': '7'}, {'Avg': '0.313', 'Hit': '378', 'HomeRun': '69'}]"
나성범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62947.jpg,47,외야수(좌투좌타),183cm/100kg,"[{'Year': '2013', 'Team': 'NC', 'Avg': '0.243', 'Hit': '98', 'HomeRun': '14'}, {'Year': '2014', 'Team': 'NC', 'Avg': '0.329', 'Hit': '157', 'HomeRun': '30'}, {'Year': '2015', 'Team': 'NC', 'Avg': '0.326', 'Hit': '184', 'HomeRun': '28'}, {'Year': '2016', 'Team': 'NC', 'Avg': '0.309', 'Hit': '177', 'HomeRun': '22'}, {'Year': '2017', 'Team': 'NC', 'Avg': '0.347', 'Hit': '173', 'HomeRun': '24'}, {'Year': '2018', 'Team': 'NC', 'Avg': '0.318', 'Hit': '177', 'HomeRun': '23'}, {'Year': '2019', 'Team': 'NC', 'Avg': '0.366', 'Hit': '34', 'HomeRun': '4'}, {'Year': '2020', 'Team': 'NC', 'Avg': '0.324', 'Hit': '170', 'HomeRun': '34'}, {'Year': '2021', 'Team': 'NC', 'Avg': '0.281', 'Hit': '160', 'HomeRun': '33'}, {'Year': '2022', 'Team': 'KIA', 'Avg': '0.320', 'Hit': '180', 'HomeRun': '21'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.365', 'Hit': '81', 'HomeRun': '18'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.291', 'Hit': '109', 'HomeRun': '21'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.226', 'Hit': '21', 'HomeRun': '4'}, {'Avg': '0.312', 'Hit': '1721', 'HomeRun': '346'}]"
김호령,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65653.jpg,27,외야수(우투우타),178cm/85kg,"[{'Year': '2015', 'Team': 'KIA', 'Avg': '0.218', 'Hit': '56', 'HomeRun': '1'}, {'Year': '2016', 'Team': 'KIA', 'Avg': '0.267', 'Hit': '121', 'HomeRun': '8'}, {'Year': '2017', 'Team': 'KIA', 'Avg': '0.267', 'Hit': '24', 'HomeRun': '1'}, {'Year': '2020', 'Team': 'KIA', 'Avg': '0.232', 'Hit': '32', 'HomeRun': '4'}, {'Year': '2021', 'Team': 'KIA', 'Avg': '0.208', 'Hit': '27', 'HomeRun': '4'}, {'Year': '2022', 'Team': 'KIA', 'Avg': '0.273', 'Hit': '21', 'HomeRun': '1'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.179', 'Hit': '17', 'HomeRun': '0'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.136', 'Hit': '8', 'HomeRun': '1'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.254', 'Hit': '32', 'HomeRun': '0'}, {'Avg': '0.237', 'Hit': '338', 'HomeRun': '64'}]"
오선우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69636.jpg,56,내야수(좌투좌타),186cm/95kg,"[{'Year': '2019', 'Team': 'KIA', 'Avg': '0.151', 'Hit': '8', 'HomeRun': '1'}, {'Year': '2020', 'Team': 'KIA', 'Avg': '0.239', 'Hit': '16', 'HomeRun': '4'}, {'Year': '2021', 'Team': 'KIA', 'Avg': '0.067', 'Hit': '1', 'HomeRun': '0'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.179', 'Hit': '5', 'HomeRun': '2'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.286', 'Hit': '2', 'HomeRun': '0'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.292', 'Hit': '64', 'HomeRun': '8'}, {'Avg': '0.247', 'Hit': '96', 'HomeRun': '13'}]"
박찬호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64646.jpg,1,내야수(우투우타),178cm/72kg,"[{'Year': '2014', 'Team': 'KIA', 'Avg': '0.091', 'Hit': '2', 'HomeRun': '0'}, {'Year': '2015', 'Team': 'KIA', 'Avg': '0.182', 'Hit': '25', 'HomeRun': '0'}, {'Year': '2016', 'Team': 'KIA', 'Avg': '0.167', 'Hit': '7', 'HomeRun': '0'}, {'Year': '2019', 'Team': 'KIA', 'Avg': '0.260', 'Hit': '131', 'HomeRun': '2'}, {'Year': '2020', 'Team': 'KIA', 'Avg': '0.223', 'Hit': '107', 'HomeRun': '3'}, {'Year': '2021', 'Team': 'KIA', 'Avg': '0.246', 'Hit': '103', 'HomeRun': '1'}, {'Year': '2022', 'Team': 'KIA', 'Avg': '0.272', 'Hit': '134', 'HomeRun': '4'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.301', 'Hit': '136', 'HomeRun': '3'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.307', 'Hit': '158', 'HomeRun': '5'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.287', 'Hit': '81', 'HomeRun': '3'}, {'Avg': '0.264', 'Hit': '884', 'HomeRun': '128'}]"
위즈덤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55645.jpg,45,내야수(우투우타),188cm/99kg,"[{'Year': '2025', 'Team': 'KIA', 'Avg': '0.265', 'Hit': '59', 'HomeRun': '16'}, {'Avg': '0.265', 'Hit': '59', 'HomeRun': '13'}]"
최원준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66606.jpg,16,외야수(우투좌타),178cm/85kg,"[{'Year': '2016', 'Team': 'KIA', 'Avg': '0.458', 'Hit': '11', 'HomeRun': '1'}, {'Year': '2017', 'Team': 'KIA', 'Avg': '0.308', 'Hit': '48', 'HomeRun': '3'}, {'Year': '2018', 'Team': 'KIA', 'Avg': '0.272', 'Hit': '82', 'HomeRun': '4'}, {'Year': '2019', 'Team': 'KIA', 'Avg': '0.198', 'Hit': '46', 'HomeRun': '1'}, {'Year': '2020', 'Team': 'KIA', 'Avg': '0.326', 'Hit': '117', 'HomeRun': '2'}, {'Year': '2021', 'Team': 'KIA', 'Avg': '0.295', 'Hit': '174', 'HomeRun': '4'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.255', 'Hit': '61', 'HomeRun': '1'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.292', 'Hit': '128', 'HomeRun': '9'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.223', 'Hit': '46', 'HomeRun': '4'}, {'Avg': '0.280', 'Hit': '713', 'HomeRun': '119'}]"
박재현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55636.jpg,36,외야수(우투좌타),180cm/73kg,"[{'Year': '2025', 'Team': 'KIA', 'Avg': '0.100', 'Hit': '3', 'HomeRun': '0'}, {'Avg': '0.100', 'Hit': '3', 'HomeRun': '1'}]"
최형우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72443.jpg,34,외야수(우투좌타),180cm/106kg,"[{'Year': '2002', 'Team': '삼성', 'Avg': '0.400', 'Hit': '2', 'HomeRun': '0'}, {'Year': '2004', 'Team': '삼성', 'Avg': '0.000', 'Hit': '0', 'HomeRun': '0'}, {'Year': '2008', 'Team': '삼성', 'Avg': '0.276', 'Hit': '106', 'HomeRun': '19'}, {'Year': '2009', 'Team': '삼성', 'Avg': '0.284', 'Hit': '118', 'HomeRun': '23'}, {'Year': '2010', 'Team': '삼성', 'Avg': '0.279', 'Hit': '117', 'HomeRun': '24'}, {'Year': '2011', 'Team': '삼성', 'Avg': '0.340', 'Hit': '163', 'HomeRun': '30'}, {'Year': '2012', 'Team': '삼성', 'Avg': '0.271', 'Hit': '125', 'HomeRun': '14'}, {'Year': '2013', 'Team': '삼성', 'Avg': '0.305', 'Hit': '156', 'HomeRun': '29'}, {'Year': '2014', 'Team': '삼성', 'Avg': '0.356', 'Hit': '153', 'HomeRun': '31'}, {'Year': '2015', 'Team': '삼성', 'Avg': '0.318', 'Hit': '174', 'HomeRun': '33'}, {'Year': '2016', 'Team': '삼성', 'Avg': '0.376', 'Hit': '195', 'HomeRun': '31'}, {'Year': '2017', 'Team': 'KIA', 'Avg': '0.342', 'Hit': '176', 'HomeRun': '26'}, {'Year': '2018', 'Team': 'KIA', 'Avg': '0.339', 'Hit': '179', 'HomeRun': '25'}, {'Year': '2019', 'Team': 'KIA', 'Avg': '0.300', 'Hit': '137', 'HomeRun': '17'}, {'Year': '2020', 'Team': 'KIA', 'Avg': '0.354', 'Hit': '185', 'HomeRun': '28'}, {'Year': '2021', 'Team': 'KIA', 'Avg': '0.233', 'Hit': '87', 'HomeRun': '12'}, {'Year': '2022', 'Team': 'KIA', 'Avg': '0.264', 'Hit': '120', 'HomeRun': '14'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.302', 'Hit': '130', 'HomeRun': '17'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.280', 'Hit': '119', 'HomeRun': '22'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.331', 'Hit': '92', 'HomeRun': '14'}, {'Avg': '0.311', 'Hit': '2534', 'HomeRun': '536'}]"
고종욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61353.jpg,57,외야수(우투좌타),184cm/83kg,"[{'Year': '2011', 'Team': '넥센', 'Avg': '0.248', 'Hit': '26', 'HomeRun': '1'}, {'Year': '2014', 'Team': '넥센', 'Avg': '0.000', 'Hit': '0', 'HomeRun': '0'}, {'Year': '2015', 'Team': '넥센', 'Avg': '0.310', 'Hit': '126', 'HomeRun': '10'}, {'Year': '2016', 'Team': '넥센', 'Avg': '0.334', 'Hit': '176', 'HomeRun': '8'}, {'Year': '2017', 'Team': '넥센', 'Avg': '0.312', 'Hit': '133', 'HomeRun': '8'}, {'Year': '2018', 'Team': '넥센', 'Avg': '0.279', 'Hit': '92', 'HomeRun': '6'}, {'Year': '2019', 'Team': 'SK', 'Avg': '0.323', 'Hit': '159', 'HomeRun': '3'}, {'Year': '2020', 'Team': 'SK', 'Avg': '0.283', 'Hit': '77', 'HomeRun': '3'}, {'Year': '2021', 'Team': 'SSG', 'Avg': '0.267', 'Hit': '48', 'HomeRun': '2'}, {'Year': '2022', 'Team': 'KIA', 'Avg': '0.283', 'Hit': '30', 'HomeRun': '2'}, {'Year': '2023', 'Team': 'KIA', 'Avg': '0.296', 'Hit': '80', 'HomeRun': '3'}, {'Year': '2024', 'Team': 'KIA', 'Avg': '0.250', 'Hit': '8', 'HomeRun': '1'}, {'Year': '2025', 'Team': 'KIA', 'Avg': '0.405', 'Hit': '15', 'HomeRun': '1'}, {'Avg': '0.304', 'Hit': '970', 'HomeRun': '164'}]"
