Player_name,Img,Team,Back_no,Position,Height/Weight,Record
류진욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65949.jpg,NC,41,투수(우투우타),189cm/88kg,"[{'Year': '2020', 'Team': 'NC', 'ERA': '6.00', 'Win': '0', 'Lose': '0'}, {'Year': '2021', 'Team': 'NC', 'ERA': '2.08', 'Win': '1', 'Lose': '0'}, {'Year': '2022', 'Team': 'NC', 'ERA': '4.86', 'Win': '4', 'Lose': '2'}, {'Year': '2023', 'Team': 'NC', 'ERA': '2.15', 'Win': '1', 'Lose': '4'}, {'Year': '2024', 'Team': 'NC', 'ERA': '5.74', 'Win': '2', 'Lose': '1'}, {'Year': '2025', 'Team': 'NC', 'ERA': '3.86', 'Win': '2', 'Lose': '2'}, {'ERA': '3.61', 'Win': '10', 'Lose': '9'}]"
류현진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76715.jpg,한화,99,투수(좌투우타),190cm/113kg,"[{'Year': '2006', 'Team': '한화', 'ERA': '2.23', 'Win': '18', 'Lose': '6'}, {'Year': '2007', 'Team': '한화', 'ERA': '2.94', 'Win': '17', 'Lose': '7'}, {'Year': '2008', 'Team': '한화', 'ERA': '3.31', 'Win': '14', 'Lose': '7'}, {'Year': '2009', 'Team': '한화', 'ERA': '3.57', 'Win': '13', 'Lose': '12'}, {'Year': '2010', 'Team': '한화', 'ERA': '1.82', 'Win': '16', 'Lose': '4'}, {'Year': '2011', 'Team': '한화', 'ERA': '3.36', 'Win': '11', 'Lose': '7'}, {'Year': '2012', 'Team': '한화', 'ERA': '2.66', 'Win': '9', 'Lose': '9'}, {'Year': '2024', 'Team': '한화', 'ERA': '3.87', 'Win': '10', 'Lose': '8'}, {'Year': '2025', 'Team': '한화', 'ERA': '3.36', 'Win': '5', 'Lose': '4'}, {'ERA': '2.94', 'Win': '113', 'Lose': '64'}]"
목지훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/53973.jpg,NC,20,투수(우투우타),181cm/83kg,"[{'Year': '2024', 'Team': 'NC', 'ERA': '12.00', 'Win': '0', 'Lose': '1'}, {'Year': '2025', 'Team': 'NC', 'ERA': '5.36', 'Win': '3', 'Lose': '4'}, {'ERA': '6.46', 'Win': '3', 'Lose': '5'}]"
문동주,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52701.jpg,한화,1,투수(우투우타),188cm/97kg,"[{'Year': '2022', 'Team': '한화', 'ERA': '5.65', 'Win': '1', 'Lose': '3'}, {'Year': '2023', 'Team': '한화', 'ERA': '3.72', 'Win': '8', 'Lose': '8'}, {'Year': '2024', 'Team': '한화', 'ERA': '5.17', 'Win': '7', 'Lose': '7'}, {'Year': '2025', 'Team': '한화', 'ERA': '3.63', 'Win': '6', 'Lose': '3'}, {'ERA': '4.37', 'Win': '22', 'Lose': '21'}]"
문승원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62869.jpg,SSG,42,투수(우투우타),180cm/88kg,"[{'Year': '2012', 'Team': 'SK', 'ERA': '4.50', 'Win': '0', 'Lose': '0'}, {'Year': '2013', 'Team': 'SK', 'ERA': '5.55', 'Win': '0', 'Lose': '1'}, {'Year': '2016', 'Team': 'SK', 'ERA': '6.64', 'Win': '4', 'Lose': '4'}, {'Year': '2017', 'Team': 'SK', 'ERA': '5.33', 'Win': '6', 'Lose': '12'}, {'Year': '2018', 'Team': 'SK', 'ERA': '4.60', 'Win': '8', 'Lose': '9'}, {'Year': '2019', 'Team': 'SK', 'ERA': '3.88', 'Win': '11', 'Lose': '7'}, {'Year': '2020', 'Team': 'SK', 'ERA': '3.65', 'Win': '6', 'Lose': '8'}, {'Year': '2021', 'Team': 'SSG', 'ERA': '2.86', 'Win': '2', 'Lose': '2'}, {'Year': '2022', 'Team': 'SSG', 'ERA': '5.11', 'Win': '1', 'Lose': '1'}, {'Year': '2023', 'Team': 'SSG', 'ERA': '5.23', 'Win': '5', 'Lose': '8'}, {'Year': '2024', 'Team': 'SSG', 'ERA': '4.50', 'Win': '6', 'Lose': '1'}, {'Year': '2025', 'Team': 'SSG', 'ERA': '4.11', 'Win': '3', 'Lose': '2'}, {'ERA': '4.58', 'Win': '52', 'Lose': '55'}]"
박상원,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67703.jpg,한화,58,투수(우투우타),187cm/98kg,"[{'Year': '2017', 'Team': '한화', 'ERA': '4.15', 'Win': '0', 'Lose': '0'}, {'Year': '2018', 'Team': '한화', 'ERA': '2.10', 'Win': '4', 'Lose': '2'}, {'Year': '2019', 'Team': '한화', 'ERA': '3.97', 'Win': '1', 'Lose': '4'}, {'Year': '2020', 'Team': '한화', 'ERA': '4.66', 'Win': '1', 'Lose': '0'}, {'Year': '2022', 'Team': '한화', 'ERA': '2.25', 'Win': '0', 'Lose': '0'}, {'Year': '2023', 'Team': '한화', 'ERA': '3.65', 'Win': '5', 'Lose': '3'}, {'Year': '2024', 'Team': '한화', 'ERA': '4.59', 'Win': '3', 'Lose': '3'}, {'Year': '2025', 'Team': '한화', 'ERA': '3.29', 'Win': '4', 'Lose': '3'}, {'ERA': '3.72', 'Win': '18', 'Lose': '15'}]"
박세웅,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64021.jpg,롯데,21,투수(우투우타),182cm/85kg,"[{'Year': '2015', 'Team': '롯데', 'ERA': '5.76', 'Win': '2', 'Lose': '11'}, {'Year': '2016', 'Team': '롯데', 'ERA': '5.76', 'Win': '7', 'Lose': '12'}, {'Year': '2017', 'Team': '롯데', 'ERA': '3.68', 'Win': '12', 'Lose': '6'}, {'Year': '2018', 'Team': '롯데', 'ERA': '9.92', 'Win': '1', 'Lose': '5'}, {'Year': '2019', 'Team': '롯데', 'ERA': '4.20', 'Win': '3', 'Lose': '6'}, {'Year': '2020', 'Team': '롯데', 'ERA': '4.70', 'Win': '8', 'Lose': '10'}, {'Year': '2021', 'Team': '롯데', 'ERA': '3.98', 'Win': '10', 'Lose': '9'}, {'Year': '2022', 'Team': '롯데', 'ERA': '3.89', 'Win': '10', 'Lose': '11'}, {'Year': '2023', 'Team': '롯데', 'ERA': '3.45', 'Win': '9', 'Lose': '7'}, {'Year': '2024', 'Team': '롯데', 'ERA': '4.78', 'Win': '6', 'Lose': '11'}, {'Year': '2025', 'Team': '롯데', 'ERA': '4.83', 'Win': '9', 'Lose': '5'}, {'ERA': '4.63', 'Win': '77', 'Lose': '93'}]"
박시후,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50812.jpg,SSG,57,투수(좌투좌타),182cm/88kg,"[{'Year': '2022', 'Team': 'SSG', 'ERA': '18.00', 'Win': '0', 'Lose': '0'}, {'Year': '2024', 'Team': 'SSG', 'ERA': '6.75', 'Win': '0', 'Lose': '0'}, {'Year': '2025', 'Team': 'SSG', 'ERA': '3.00', 'Win': '4', 'Lose': '1'}, {'ERA': '4.44', 'Win': '4', 'Lose': '1'}]"
박신지,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68249.jpg,두산,49,투수(우투우타),185cm/75kg,"[{'Year': '2018', 'Team': '두산', 'ERA': '3.00', 'Win': '1', 'Lose': '2'}, {'Year': '2019', 'Team': '두산', 'ERA': '-', 'Win': '0', 'Lose': '0'}, {'Year': '2020', 'Team': '두산', 'ERA': '18.00', 'Win': '0', 'Lose': '0'}, {'Year': '2022', 'Team': '두산', 'ERA': '6.71', 'Win': '1', 'Lose': '6'}, {'Year': '2023', 'Team': '두산', 'ERA': '5.54', 'Win': '0', 'Lose': '0'}, {'Year': '2024', 'Team': '두산', 'ERA': '2.08', 'Win': '0', 'Lose': '1'}, {'Year': '2025', 'Team': '두산', 'ERA': '2.70', 'Win': '1', 'Lose': '1'}, {'ERA': '5.21', 'Win': '3', 'Lose': '10'}]"
박영현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52060.jpg,KT,60,투수(우투우타),183cm/91kg,"[{'Year': '2022', 'Team': 'KT', 'ERA': '3.66', 'Win': '0', 'Lose': '1'}, {'Year': '2023', 'Team': 'KT', 'ERA': '2.75', 'Win': '3', 'Lose': '3'}, {'Year': '2024', 'Team': 'KT', 'ERA': '3.52', 'Win': '10', 'Lose': '2'}, {'Year': '2025', 'Team': 'KT', 'ERA': '2.66', 'Win': '1', 'Lose': '4'}, {'ERA': '3.16', 'Win': '14', 'Lose': '10'}]"
