순위,팀명,경기,승,무,패,승률,게임차,연속,최근5경기
1,한화,85,50,2,33,0.602,0.0,4승,무,승,승,승,승
2,LG,86,47,2,37,0.560,3.5,2승,패,패,패,승,승
3,롯데,87,46,3,38,0.548,4.5,1패,승,패,승,패,승
4,KIA,86,45,3,38,0.542,5.0,2패,승,승,승,패,패
5,SSG,85,43,3,39,0.524,6.5,1승,패,승,승,패,승
6,KT,87,43,3,41,0.512,7.5,3패,승,승,패,패,패
7,삼성,86,43,1,42,0.506,8.0,2패,승,승,승,패,패
8,NC,83,38,5,40,0.487,9.5,2승,무,패,패,승,승
9,두산,86,35,3,48,0.422,15.0,3승,패,패,승,승,승
10,키움,89,26,3,60,0.302,25.5,6패,패,패,패,패,패
